no.,listed as,book,author,edition,year
1,Mr. Adams,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
2,Mrs. Allen,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
3,Mr. Allam,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
4,Mr. Allwood,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
5,Mr. Alexander,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
6,Right Hon. Lord and Lady Barnard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
7,Mr. Becket,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
8,Mr. Barrat,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
9,Mr. Baptize,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
10,Mr. Burkeny Young,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
11,Mr. Brablytroy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
12,Mr. Bowie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
13,Mr. Baily,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
14,Mr. Bovie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
15,Mr. Brown,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
16,Mr. Brewer,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
17,Mr. Bennet,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
18,Mr. and Mrs. Bradbury,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
19,Mr. Boston,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
20,Mr. Browne,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
21,Mr. Bridgewater,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
22,Mr. Beckford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
23,Mr. Campbell,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
24,Mr. Cosway,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
25,Mr. Cuzons,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
26,Mr. Carry,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
27,Mr. Camburn,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
28,Mr. Charpontiare,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
29,Mr. Crook,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
30,Mr. Crosland,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
31,Mr. Crigg,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
32,Mr. Collings,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
33,Mr. Dumanudue,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
34,Mr. Davison,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
35,Mr. Douglass,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
36,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
37,Mr. Davise,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
38,Mr. Durnford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
39,Mr. Dent,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
40,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
41,Mr. Dodsly,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
42,Mr. Ellis,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
43,Mr. Elliott,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
44,Mr. Enoch,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
45,Mr. Ebdon,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
46,Mr. Emery,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
47,Right Hon. Viscount Fielding,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
48,Mr. Fox,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
49,Mr. Followes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
50,Mr. Frall,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
51,Mr. Ferral,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
52,Mr. Fleece,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
53,Mr. Flanders,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
54,Mr. Frances,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
55,Mrs. Fletcher,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
56,Mr. George Fancy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
57,Mr. Goodram,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
58,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
59,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
60,Dr. Gartshore,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
61,Mr. Gill,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
62,Mr. Green,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
63,Mr. Glover,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
64,Mr. Graver,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
65,Mr. Gibbs,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
66,Mr. Gibson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
67,Mr. Glade,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
68,Earl Harrington ,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
69,Mr. Hoyle,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
70,Mr. Harris,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
71,Mr. Higgings,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
72,Mr. Haynes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
