no.,listed as,book,author,edition,year
1,"Rev. Burgiss Allison, Principle of the Acadamy at Bordentown",Interesting Narrative,"Equiano, Olaudah",Am,1791
2,"John Applegate, Queen-Street, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
3,"John Alsop, Jun. 12 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
4,"John Ashfield, No 44 William Street",Interesting Narrative,"Equiano, Olaudah",Am,1791
5,"Mary Alsop, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
6,"Joseph Wright Alsop, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
7,"Joel Alyn, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
8,"William Brown, Esq Middletown Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
9,"John Welding Wethersfield, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
10,"Col. William M. Bloggett, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
11,"James Bulkley, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
12,"Abraham Boudoine, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
13,"John Beers, Suffolk county, S. N. Y 12 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
14,"John Bedient, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
15,"Samuel Borrowe, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
16,"Joseph Ball, Boston",Interesting Narrative,"Equiano, Olaudah",Am,1791
17,John. O. Bogart N. Y.,Interesting Narrative,"Equiano, Olaudah",Am,1791
18,"Cornelius Brinkerhoof, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
19,"John Bowne, jun. do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
20,Samuel Bowne do,Interesting Narrative,"Equiano, Olaudah",Am,1791
21,"Thomas Burling, C. M.",Interesting Narrative,"Equiano, Olaudah",Am,1791
22,"George Bowne, jun.",Interesting Narrative,"Equiano, Olaudah",Am,1791
23,"Jacob Conkline, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
24,"Elijah Cock, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
25,"Job cook, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
26,"Hugh Chard, New Castle, S. N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
27,"Francis Courtney Ulster county, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
28,"Jesse Cole, Middltown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
29,"Joseph Churchell, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
30,"Jonathan Collins, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
31,"William Crosby, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
32,"Timothy Canfield, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
33,"Thomas Dobson, Book-Seller, Phila. 100 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
34,"Cornelius Davis, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
35,"John Durell, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
36,"Samuel Dodge, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
37,"Samuel M. Dickenson, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
38,"Stephen Dehart, Eliz. Town, N. J.",Interesting Narrative,"Equiano, Olaudah",Am,1791
39,"George Duryee jun, Bushwick, Long-Island",Interesting Narrative,"Equiano, Olaudah",Am,1791
40,Carson Dickenson,Interesting Narrative,"Equiano, Olaudah",Am,1791
41,"Issac Ecleston, Antigua",Interesting Narrative,"Equiano, Olaudah",Am,1791
42,"Rev. Benjamin Foster, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
43,"Bezaleel Fisk Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
44,"David S. Franks, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
45,Bela F. Frost,Interesting Narrative,"Equiano, Olaudah",Am,1791
46,"John Ferriss, Wilmington",Interesting Narrative,"Equiano, Olaudah",Am,1791
47,"George Fox, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
48,"Nathan Gellem, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
