no.,listed as,book,author,edition,year
1,Dowager Countess of Albemarle,Letters,"Sancho, Ignatius",1,1782
2,Countess of Aylesford,Letters,"Sancho, Ignatius",1,1782
3,Earl of Ashburnham,Letters,"Sancho, Ignatius",1,1782
4,Earl of Aylesbury,Letters,"Sancho, Ignatius",1,1782
5,Countess of Aylesbury,Letters,"Sancho, Ignatius",1,1782
6,Lady Abdy,Letters,"Sancho, Ignatius",1,1782
7,Mrs. Abdy,Letters,"Sancho, Ignatius",1,1782
8,"Richard Archdall, Esq.",Letters,"Sancho, Ignatius",1,1782
9,"William Adair, Esq.",Letters,"Sancho, Ignatius",1,1782
10,"Robert Adair, Esq.",Letters,"Sancho, Ignatius",1,1782
11,"William Ayton, Esq.",Letters,"Sancho, Ignatius",1,1782
12,"Gilbert Affleck, Esq.",Letters,"Sancho, Ignatius",1,1782
13,"Paul Agutter, Esq.",Letters,"Sancho, Ignatius",1,1782
14,"Duncan McAndrew, Esq.",Letters,"Sancho, Ignatius",1,1782
15,Mrs. Acton.,Letters,"Sancho, Ignatius",1,1782
16,Miss Adams,Letters,"Sancho, Ignatius",1,1782
17,Mrs. Armiger,Letters,"Sancho, Ignatius",1,1782
18,Mrs. Affleck,Letters,"Sancho, Ignatius",1,1782
19,Miss Affleck,Letters,"Sancho, Ignatius",1,1782
20,Mr. Audley,Letters,"Sancho, Ignatius",1,1782
21,Mr. Allington,Letters,"Sancho, Ignatius",1,1782
22,Mr. Abington,Letters,"Sancho, Ignatius",1,1782
23,Mrs. Ash,Letters,"Sancho, Ignatius",1,1782
24,Mr. Andrews,Letters,"Sancho, Ignatius",1,1782
25,Mr. James Alexander,Letters,"Sancho, Ignatius",1,1782
26,Mr. Adney,Letters,"Sancho, Ignatius",1,1782
27,Mr. James Ayms,Letters,"Sancho, Ignatius",1,1782
28,Mr. Antrobus,Letters,"Sancho, Ignatius",1,1782
29,Mr. Abbort,Letters,"Sancho, Ignatius",1,1782
30,Mrs. Anderson,Letters,"Sancho, Ignatius",1,1782
31,Mrs. Ayton,Letters,"Sancho, Ignatius",1,1782
32,Mr. Atkinson,Letters,"Sancho, Ignatius",1,1782
33,Rev. George Ashby,Letters,"Sancho, Ignatius",1,1782
34,Mr. Alderton,Letters,"Sancho, Ignatius",1,1782
35,Mrs. Appleby,Letters,"Sancho, Ignatius",1,1782
