group_id,match,entry_id,person_id,title_key,title_holder,normalized_name,listed as,book,edition,year,match_tier
tt_0001,y,Equiano-Interesting-4-0001,Equiano-Interesting-4-0001,archbishop of dublin,,Archbishop of Dublin,His Grace the Archbishop of Dublin,Interesting Narrative,4,1791,title_same
tt_0001,y,Equiano-Interesting-6-0473,Equiano-Interesting-6-0473,archbishop of dublin,,Archbishop of Dublin,His Grace the Archbishop of Dublin.,Interesting Narrative,6,1793,title_same
tt_0001,y,Equiano-Interesting-7-0488,Equiano-Interesting-7-0488,archbishop of dublin,,Archbishop of Dublin,His Grace the Archbishop of Dublin.,Interesting Narrative,7,1793,title_same
tt_0002,y,Equiano-Interesting-5-0114,Equiano-Interesting-5-0114,bishop of london,Beilby Porteus,Bishop of London,The Bishop of London,Interesting Narrative,5,1792,title_same
tt_0002,y,Equiano-Interesting-6-0121,Equiano-Interesting-6-0121,bishop of london,Beilby Porteus,Bishop of London,The Bishop of London,Interesting Narrative,6,1793,title_same
tt_0003,y,Equiano-Interesting-5-0181,Equiano-Interesting-5-0181,bishop of worcester,,Bishop of Worcester,The Bishop of Worcester,Interesting Narrative,5,1792,title_same
tt_0003,y,Equiano-Interesting-6-0196,Equiano-Interesting-6-0196,bishop of worcester,,Bishop of Worcester,The Bishop of Worcester,Interesting Narrative,6,1793,title_same
tt_0003,y,Equiano-Interesting-7-0201,Equiano-Interesting-7-0201,bishop of worcester,,Bishop of Worcester,The Bishop of Worcester,Interesting Narrative,7,1793,title_same
tt_0003,y,Equiano-Interesting-8-0207,Equiano-Interesting-8-0207,bishop of worcester,,Bishop of Worcester,The Bishop of Worcester,Interesting Narrative,8,1794,title_same
tt_0003,y,Equiano-Interesting-9-0207,Equiano-Interesting-9-0207,bishop of worcester,,Bishop of Worcester,The Bishop of Worcester,Interesting Narrative,9,1794,title_same
tt_0004,y,Equiano-Interesting-1-0092,Equiano-Interesting-1-0092,countess of essex,,Right Hon. the Countess of Essex,The Right Hon. the Countess of Essex,Interesting Narrative,1,1789,title_same
tt_0004,y,Equiano-Interesting-2-0113,Equiano-Interesting-2-0113,countess of essex,,Right Hon. the Countess of Essex,The Right Hon. the Countess of Essex,Interesting Narrative,2,1789,title_same
tt_0004,y,Equiano-Interesting-3-0118,Equiano-Interesting-3-0118,countess of essex,,Right Hon. the Countess of Essex,The Right Hon. the Countess of Essex,Interesting Narrative,3,1790,title_same
tt_0004,y,Equiano-Interesting-4-0232,Equiano-Interesting-4-0232,countess of essex,,Right Hon. the Countess of Essex,The Right on the Countess of Essex,Interesting Narrative,4,1791,title_same
tt_0004,y,Equiano-Interesting-5-0069,Equiano-Interesting-5-0069,countess of essex,,Countess of Essex,The Countess of Essex,Interesting Narrative,5,1792,title_same
tt_0004,y,Equiano-Interesting-6-0070,Equiano-Interesting-6-0070,countess of essex,,Countess of Essex,The Countess of Essex,Interesting Narrative,6,1793,title_same
tt_0004,y,Equiano-Interesting-7-0070,Equiano-Interesting-7-0070,countess of essex,,Countess of Essex,The Countess of Essex,Interesting Narrative,7,1793,title_same
tt_0004,y,Equiano-Interesting-8-0073,Equiano-Interesting-8-0073,countess of essex,,Countess of Essex,The Countess of Essex,Interesting Narrative,8,1794,title_same
tt_0004,y,Equiano-Interesting-9-0073,Equiano-Interesting-9-0073,countess of essex,,Countess of Essex,The Countess of Essex,Interesting Narrative,9,1794,title_same
tt_0005,y,Equiano-Interesting-2-0155,Equiano-Interesting-2-0155,countess of harrington,,Right Hon. Countess of Harrington,The Right Hon. Countess Harrington,Interesting Narrative,2,1789,title_same
tt_0005,y,Equiano-Interesting-3-0160,Equiano-Interesting-3-0160,countess of harrington,,Right Hon. Countess of Harrington,The Right Hon. Countess Harrington,Interesting Narrative,3,1790,title_same
tt_0005,y,Equiano-Interesting-4-0255,Equiano-Interesting-4-0255,countess of harrington,,Right Hon. Countess of Harrington,The Right Hon. Countess Harrington,Interesting Narrative,4,1791,title_same
tt_0005,y,Equiano-Interesting-5-0088,Equiano-Interesting-5-0088,countess of harrington,,Hon. Countess of Harrington,Hon. Countess of Harington,Interesting Narrative,5,1792,title_same
tt_0005,y,Equiano-Interesting-6-0093,Equiano-Interesting-6-0093,countess of harrington,,Hon. Countess of Harrington,Hon. Countess of Harrington,Interesting Narrative,6,1793,title_same
tt_0005,y,Equiano-Interesting-7-0093,Equiano-Interesting-7-0093,countess of harrington,,Right Hon. Countess of Harrington,Rt. Hon. Countess of Harrington,Interesting Narrative,7,1793,title_same
tt_0005,y,Equiano-Interesting-8-0096,Equiano-Interesting-8-0096,countess of harrington,,Right Hon. Countess of Harrington,Rt. Hon. Countess of Harrington,Interesting Narrative,8,1794,title_same
tt_0005,y,Equiano-Interesting-9-0096,Equiano-Interesting-9-0096,countess of harrington,,Right Hon. Countess of Harrington,Rt. Hon. Countess of Harrington,Interesting Narrative,9,1794,title_same
tt_0007,y,Equiano-Interesting-1-0130,Equiano-Interesting-1-0130,dowager countess of huntingdon,,Right Hon. Dowager Countess of Huntingdon,Right Hon. Dowager Countess of Huntingdon,Interesting Narrative,1,1789,title_same
tt_0007,y,Equiano-Interesting-2-0156,Equiano-Interesting-2-0156,dowager countess of huntingdon,,Right Hon. Dowager Countess of Huntingdon,Right Hon. Dowager Countess of Huntingdon,Interesting Narrative,2,1789,title_same
