group_id,match,entry_id,person_id,normalized_name,listed as,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,book,edition,year,match_rule,match_tier
cm_0001,y,Equiano-Interesting-1-0055,Equiano-Interesting-1-0055,Mr. R. L. B.,Mr. R.L.B.,Mr.,R. L. B.,,,,,,Interesting Narrative,1,1789,multi_initials,auto_within
cm_0001,y,Equiano-Interesting-2-0066,Equiano-Interesting-2-0066,Mr. R. L. B.,Mr. R. L. B.,Mr.,R. L. B.,,,,,,Interesting Narrative,2,1789,multi_initials,auto_within
cm_0001,y,Equiano-Interesting-3-0068,Equiano-Interesting-3-0068,Mr. R. L. B.,Mr. R. L. B.,Mr.,R. L. B.,,,,,,Interesting Narrative,3,1790,multi_initials,auto_within
cm_0002,y,Equiano-Interesting-1-0074,Equiano-Interesting-1-0074,Mr. J. C.,Mr. J.C.,Mr.,J. C.,,,,,,Interesting Narrative,1,1789,multi_initials,auto_within
cm_0002,y,Equiano-Interesting-2-0090,Equiano-Interesting-2-0090,Mr. J. C.,Mr. J. C.,Mr.,J. C.,,,,,,Interesting Narrative,2,1789,multi_initials,auto_within
cm_0002,y,Equiano-Interesting-3-0093,Equiano-Interesting-3-0093,Mr. J. C.,Mr. J. C.,Mr.,J. C.,,,,,,Interesting Narrative,3,1790,multi_initials,auto_within
cm_0003,y,Equiano-Interesting-1-0155,Equiano-Interesting-1-0155,Mr. T. W. J. Esq.,Mr. T.W.J. Esq.,Mr.,T. W. J.,,Esq.,,,,Interesting Narrative,1,1789,multi_initials,auto_within
cm_0003,y,Equiano-Interesting-2-0195,Equiano-Interesting-2-0195,Mr. T. W. J. Esq.,Mr. T. W. J. Esq.,Mr.,T. W. J.,,Esq.,,,,Interesting Narrative,2,1789,multi_initials,auto_within
cm_0003,y,Equiano-Interesting-3-0201,Equiano-Interesting-3-0201,T. W. J. Esq.,T. W. J. Esq.,,T. W. J.,,Esq.,,,,Interesting Narrative,3,1790,multi_initials,auto_within
cm_0004,y,Equiano-Interesting-2-0267,Equiano-Interesting-2-0267,Mr. P. M.,Mr. P. M.,Mr.,P. M.,,,,,,Interesting Narrative,2,1789,multi_initials,auto_within
cm_0004,y,Equiano-Interesting-3-0276,Equiano-Interesting-3-0276,Mr. P. M.,Mr. P. M.,Mr.,P. M.,,,,,,Interesting Narrative,3,1790,multi_initials,auto_within
cm_0005,y,Equiano-Interesting-1-0004,Equiano-Interesting-1-0004,Adm. Affleck,Admiral Affleck,Adm.,,Affleck,,,,,Interesting Narrative,1,1789,exact_last+missing_first,auto_within
cm_0005,y,Equiano-Interesting-2-0005,Equiano-Interesting-2-0005,Adm. Affleck,Admiral Affleck,Adm.,,Affleck,,,,,Interesting Narrative,2,1789,exact_last+missing_first,auto_within
cm_0005,y,Equiano-Interesting-3-0005,Equiano-Interesting-3-0005,Adm. Affleck,Admiral Affleck,Adm.,,Affleck,,,,,Interesting Narrative,3,1790,exact_last+missing_first,auto_within
cm_0005,y,Equiano-Interesting-4-0167,Equiano-Interesting-4-0167,Adm. Affleck,Admiral Afflect,Adm.,,Affleck,,,,,Interesting Narrative,4,1791,exact_last+missing_first,auto_within
cm_0005,y,Equiano-Interesting-5-0005,Equiano-Interesting-5-0005,Adm. Affleck,Admiral Affleck,Adm.,,Affleck,,,,,Interesting Narrative,5,1792,exact_last+missing_first,auto_within
cm_0005,y,Equiano-Interesting-6-0005,Equiano-Interesting-6-0005,Adm. Affleck,Admiral Affleck,Adm.,,Affleck,,,,,Interesting Narrative,6,1793,exact_last+missing_first,auto_within
