group_id,match,entry_id,person_id,normalized_name,listed as,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,book,edition,year,match_rule,match_tier
cm_0055,,Equiano-Interesting-3-0058,Equiano-Interesting-3-0058,Mrs. Borekhardt,Mrs. Borekhardt,Mrs.,,Borekhardt,,,,,Interesting Narrative,3,1790,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0032,,Equiano-Interesting-4-0071,Equiano-Interesting-4-0071,William Harkness,William Harkness,,William,Harkness,,,,,Interesting Narrative,4,1791,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0366,,Equiano-Interesting-4-0102,Equiano-Interesting-4-0102,John Nicolson,John Nicolson,,John,Nicolson,,,,,Interesting Narrative,4,1791,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0026,,Equiano-Interesting-4-0187,Equiano-Interesting-4-0187,Miss Ballie,Miss Ballie,Miss,,Ballie,,,,,Interesting Narrative,4,1791,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0560,,Equiano-Interesting-4-0271,Equiano-Interesting-4-0271,Rev. Mr. Housman of Leicester,"Rev. Mr. Housman, of Leicester",Rev. Mr.,,Housman,,,,Leicester,Interesting Narrative,4,1791,fuzzy_last_1+missing_first+loc,candidate_within_linkage
cm_0879,,Equiano-Interesting-5-0254,Equiano-Interesting-5-0254,Dr. F. Sketon of Drogheda,Dr F. Sketon of Drogheda,Dr.,F.,Sketon,,,,Drogheda,Interesting Narrative,5,1792,fuzzy_last_1+initial_first+loc,candidate_within_linkage
cm_0971,,Equiano-Interesting-6-0235,Equiano-Interesting-6-0235,Mr. Thomas Bramwell,Mr. Thomas Bramwell,Mr.,Thomas,Bramwell,,,,,Interesting Narrative,6,1793,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0891,,Equiano-Interesting-6-0418,Equiano-Interesting-6-0418,Mr. William Sedgework,Mr. Wm. Sedgework,Mr.,William,Sedgework,,,,,Interesting Narrative,6,1793,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0669,,Equiano-Interesting-6-0639,Equiano-Interesting-6-0639,Rev. Mr. Moyle,Rev. Mr. Moyle,Rev. Mr.,,Moyle,,,,,Interesting Narrative,6,1793,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0670,,Equiano-Interesting-6-0640,Equiano-Interesting-6-0640,Mrs. Michelson,Mrs. Michelson,Mrs.,,Michelson,,,,,Interesting Narrative,6,1793,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0502,,Equiano-Interesting-7-0530,Equiano-Interesting-7-0530,S. M'Quire Esq.,"S. M'Quire, Esq.",,S.,M'Quire,Esq,,,,Interesting Narrative,7,1793,fuzzy_last_1+initial_first+post,candidate_within_linkage
cm_0609,,Equiano-Interesting-7-0579,Equiano-Interesting-7-0579,Messrs. Bole and Sott,"Messrs.Bole & Sott,do.",Messrs.,Bole,and Sott,,,,ditto,Interesting Narrative,7,1793,fuzzy_last_1+fuzzy_first,candidate_within_linkage
cm_0666,,Equiano-Interesting-7-0651,Equiano-Interesting-7-0651,R. Scott-Moncfief Esq. of Glasgow,"R. Scott-Moncfief, Esq. of Glasgow",,R.,Scott-Moncfief,,,,Glasgow,Interesting Narrative,7,1793,fuzzy_last_1+initial_first+loc,candidate_within_linkage
cm_0037,,Equiano-Interesting-8-0028,Equiano-Interesting-8-0028,Mrs. Raynes,Mrs. Raynes,Mrs.,,Raynes,,,,,Interesting Narrative,8,1794,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0737,,Equiano-Interesting-8-0238,Equiano-Interesting-8-0238,Rev. Mr. Baker,The Rev. Mr. Baker,Rev. Mr.,,Baker,,,,,Interesting Narrative,8,1794,fuzzy_last_1+missing_first,candidate_within_linkage
cm_0187,,Equiano-Interesting-8-0667,Equiano-Interesting-8-0667,Mr. James Robinson of Norwich,Mr. James Robinson of Norwich,Mr.,James,Robinson,,,,Norwich,Interesting Narrative,8,1794,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0587,,Equiano-Interesting-8-0780,Equiano-Interesting-8-0780,Dr. Patter of Tandragee,"Dr. Patter, of Tandragee",Dr.,,Patter,,,,Tandragee,Interesting Narrative,8,1794,fuzzy_last_1+missing_first+loc,candidate_within_linkage
cm_0595,,Equiano-Interesting-8-0858,Equiano-Interesting-8-0858,John Patterson Esq. of Glasgow,"John Patterson, Esq. of Glasgow",,John,Patterson,,,,Glasgow,Interesting Narrative,8,1794,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0424,,Equiano-Interesting-9-0716,Equiano-Interesting-9-0716,John Marshall M. D.,"John Marshall, M. D.",,John,Marshall,M. D,,,,Interesting Narrative,9,1794,fuzzy_last_3+exact_first,candidate_within_linkage
cm_0727,,Equiano-Interesting-9-0722,Equiano-Interesting-9-0722,Rev. W. Richards M. A.,"Rev. W. Richards, M. A. 2 copies",Rev.,W.,Richards,,,,,Interesting Narrative,9,1794,fuzzy_last_2+missing_first,candidate_within_linkage
cm_1091,,Equiano-Interesting-4-0161,Equiano-Interesting-4-0161,Joseph C. Walker Esq.,"Joseph C. Walker, Esq.",,Joseph,C. Walker,Esq,,,,Interesting Narrative,4,1791,fuzzy_last_3+exact_first,candidate_cluster_merge
cm_1091,,Equiano-Interesting-3-0385,Equiano-Interesting-3-0385,Joseph Walker Esq.,"Joseph Walker, Esq. Ditto",,Joseph,Walker,Esq. Ditto,,,,Interesting Narrative,3,1790,fuzzy_last_3+exact_first,candidate_cluster_merge
cm_1092,,Equiano-Interesting-5-0256,Equiano-Interesting-5-0256,Mr. William Sproul of Athlone,Mr Wm.SproulofAthlone,Mr.,William,Sproul,,,,Athlone,Interesting Narrative,5,1792,fuzzy_last_1+initial_first+loc,candidate_cluster_merge
cm_1092,,Equiano-Interesting-8-0785,Equiano-Interesting-8-0785,Mr. W. Sproule Athlone,"Mr. W. Sproule, Athlone",Mr.,W.,Sproule,,,,Athlone,Interesting Narrative,8,1794,fuzzy_last_1+initial_first+loc,candidate_cluster_merge
cm_1093,,Equiano-Interesting-6-0218,Equiano-Interesting-6-0218,Dr. Alderson,Dr. Alderson,Dr.,,Alderson,,,,,Interesting Narrative,6,1793,fuzzy_last_1+missing_first,candidate_cluster_merge
cm_1093,,Equiano-Interesting-5-0278,Equiano-Interesting-5-0278,Dr. James Anderson Leith,"Dr James Anderson, Leith",Dr.,James,Anderson,,,,Leith,Interesting Narrative,5,1792,fuzzy_last_1+missing_first,candidate_cluster_merge
cm_1094,,Equiano-Interesting-8-0052,Equiano-Interesting-8-0052,Rev. Mr. Carlow of Mansfield,Rev. Mr. Carlow of Mansfield,Rev. Mr.,,Carlow,,,,Mansfield,Interesting Narrative,8,1794,fuzzy_last_1+missing_first+loc,candidate_cluster_merge
cm_1094,,Equiano-Interesting-4-0215,Equiano-Interesting-4-0215,Rev. Mr. Catlow Mansfield,"The Rev. Mr. Catlow, Mansfield",Rev. Mr.,,Catlow,,,,Mansfield,Interesting Narrative,4,1791,fuzzy_last_1+missing_first+loc,candidate_cluster_merge
cm_1095,,Equiano-Interesting-8-0579,Equiano-Interesting-8-0579,Rev. Samuel Forster D. D.,"Rev. Sam. Forester, D. D.",Rev.,Samuel,Forster,D. D,,,,Interesting Narrative,8,1794,fuzzy_last_1+missing_first,candidate_cluster_merge
cm_1095,,Equiano-Interesting-1-0103,Equiano-Interesting-1-0103,Rev. Mr. Foster,The Reverend Mr. Foster,Rev. Mr.,,Foster,,,,,Interesting Narrative,1,1789,fuzzy_last_1+missing_first,candidate_cluster_merge
cm_1096,,Equiano-Interesting-8-0726,Equiano-Interesting-8-0726,Mr. Thomas Watson,Mr. Thomas Watson,Mr.,Thomas,Watson,,,,,Interesting Narrative,8,1794,fuzzy_last_2+exact_first,candidate_within
