title_key,person_name,wikidata_id,start_year,end_year,source
archbishop of dublin,Gréne,Q100606410,1152,1161,wikidata
archbishop of dublin,Lorcán Ua Tuathail,Q2419830,1162,,wikidata
archbishop of dublin,John Comyn,Q6226825,1182,,wikidata
archbishop of dublin,Henry de Loundres,Q5730777,1212,,wikidata
archbishop of dublin,Luke,Q107349600,1229,1255,wikidata
archbishop of dublin,Fulk Basset,Q5507942,1256,,wikidata
archbishop of dublin,John de Derlington,Q16168971,1279,,wikidata
archbishop of dublin,John de Sandford,Q6265633,1285,,wikidata
archbishop of dublin,William Houghton,Q8012546,1296,,wikidata
archbishop of dublin,Richard de Ferings,Q7330187,1299,1306,wikidata
archbishop of dublin,Richard de Havering,Q19654899,1307,1310,wikidata
archbishop of dublin,John de Leche,Q6265566,1311,1313,wikidata
archbishop of dublin,John de St Paul,Q6265644,1349,,wikidata
archbishop of dublin,Thomas Minot,Q7792494,1363,,wikidata
archbishop of dublin,Robert Waldby,Q7350788,1390,,wikidata
archbishop of dublin,Richard Northalis,Q7328090,1395,,wikidata
archbishop of dublin,Michael Tregury,Q774154,1449,,wikidata
archbishop of dublin,John Walton,Q16208531,1472,1484,wikidata
archbishop of dublin,Walter Fitzsimon,Q7964840,1484,,wikidata
archbishop of dublin,William Rokeby,Q8017729,1512,,wikidata
archbishop of dublin,Hugh Inge,Q5931212,1523,,wikidata
archbishop of dublin,John Alen,Q6218529,1529,,wikidata
archbishop of dublin,Hugh Curwen,Q5930472,1555,1559,wikidata
archbishop of dublin,Matteo de Oviedo,Q64763769,1600,1610,wikidata
archbishop of dublin,Eugene Matthews,Q68907851,1611,1623,wikidata
archbishop of dublin,Thomas Fleming,Q7789656,1623,,wikidata
archbishop of dublin,Peter Talbot,Q7177242,1669,,wikidata
archbishop of dublin,Patrick Russell,Q7147567,1683,,wikidata
archbishop of dublin,Peter Creagh,Q18546721,1692,1705,wikidata
archbishop of dublin,Edmund Byrne,Q64740785,1707,,wikidata
archbishop of dublin,Edward Murphy,Q18730223,1724,,wikidata
archbishop of dublin,Luke Fagan,Q24033403,1729,,wikidata
archbishop of dublin,John Linegar,Q64761612,1734,,wikidata
archbishop of dublin,Richard Lincoln,Q68905236,1757,,wikidata
archbishop of dublin,Patrick Fitzsimon,Q68903637,1763,,wikidata
archbishop of dublin,John Carpenter,Q16197740,1770,,wikidata
archbishop of dublin,John Troy,Q6261315,1786,,wikidata
archbishop of dublin,Daniel Murray,Q5218216,1823,,wikidata
archbishop of dublin,Paul Cullen,Q2005947,1852,,wikidata
archbishop of dublin,Edward MacCabe,Q1292983,1879,,wikidata
archbishop of dublin,William Joseph Walsh,Q8019956,1885,1921,wikidata
archbishop of dublin,Edward Joseph Byrne,Q5343836,1921,1940,wikidata
archbishop of dublin,John Charles McQuaid,Q6225766,1940,1971,wikidata
archbishop of dublin,Dermot Ryan,Q1200281,1972,1984,wikidata
archbishop of dublin,Kevin McNamara,Q6396976,1984,1987,wikidata
archbishop of dublin,Desmond Connell,Q712053,1988,2004,wikidata
archbishop of dublin,Diarmuid Martin,Q370544,2004,2020,wikidata
archbishop of dublin,Dermot Farrell,Q5262802,2020,,wikidata
bishop of london,Nicholas Ridley,Q741030,1550,1553,wikidata
bishop of london,Edmund Bonner,Q743506,1553,1559,wikidata
bishop of london,Edmund Grindal,Q655212,1559,1570,wikidata
bishop of london,Edwin Sandys,Q349531,1570,1576,wikidata
bishop of london,John Aylmer,Q675190,1577,1594,wikidata
bishop of london,Richard Fletcher,Q3430766,1595,1596,wikidata
bishop of london,Richard Bancroft,Q651099,1597,1604,wikidata
bishop of london,Richard Vaughan,Q7329644,1604,1607,wikidata
bishop of london,Thomas Ravis,Q7793422,1607,1609,wikidata
bishop of london,George Abbot,Q714925,1610,1611,wikidata
bishop of london,John King,Q6243121,1611,1621,wikidata
bishop of london,George Montaigne,Q3101772,1621,1627,wikidata
bishop of london,William Laud,Q325408,1628,1633,wikidata
bishop of london,William Juxon,Q665226,1633,1649,wikidata
bishop of london,Gilbert Sheldon,Q584403,1660,1663,wikidata
bishop of london,Humphrey Henchman,Q15486486,1663,1675,wikidata
bishop of london,Henry Compton,Q2347142,1675,1713,wikidata
bishop of london,John Robinson,Q3951793,1713,1723,wikidata
bishop of london,Edmund Gibson,Q3048098,1723,1748,wikidata
bishop of london,Thomas Sherlock,Q3404865,1748,1761,wikidata
bishop of london,Thomas Hayter,Q7790530,1761,1762,wikidata
bishop of london,Richard Osbaldeston,Q7328196,1762,1764,wikidata
bishop of london,Richard Terrick,Q7329426,1764,1777,wikidata
bishop of london,Robert Lowth,Q739953,1777,1787,wikidata
bishop of london,Beilby Porteus,Q4881237,1787,1809,wikidata
bishop of london,John Randolph,Q6254210,1809,1813,wikidata
bishop of london,William Howley,Q844561,1813,1828,wikidata
bishop of london,Charles James Blomfield,Q3559943,1828,1856,wikidata
bishop of london,Archibald Tait,Q336875,1856,1868,wikidata
bishop of london,John Jackson,Q4026977,1869,1885,wikidata
bishop of london,Frederick Temple,Q336295,1885,1896,wikidata
bishop of london,Mandell Creighton,Q2362238,1897,1901,wikidata
bishop of london,Arthur Winnington-Ingram,Q3891928,1901,1939,wikidata
bishop of london,Geoffrey Fisher,Q335473,1939,1945,wikidata
bishop of london,William Wand,Q8019988,1945,1955,wikidata
bishop of london,Henry Montgomery-Campbell,Q5719145,1956,1961,wikidata
bishop of london,Robert Stopford,Q7350098,1961,1973,wikidata
bishop of london,Gerald Ellison,Q1273191,1973,1981,wikidata
bishop of london,Graham Leonard,Q336805,1981,1991,wikidata
bishop of london,David Hope,Q335864,1991,1995,wikidata
bishop of london,Richard Chartres,Q336470,1995,2017,wikidata
bishop of london,Sarah Mullally,Q7422628,2018,2026,wikidata
bishop of worcester,Walter Lyghe,Q7965500,,,wikidata
bishop of worcester,Hugh Latimer,Q710046,1535,1539,wikidata
bishop of worcester,John Hooper,Q647264,1552,1554,wikidata
bishop of worcester,Edwin Sandys,Q349531,1559,1570,wikidata
bishop of worcester,Nicholas Bullingham,Q7025130,1571,1576,wikidata
bishop of worcester,John Whitgift,Q473302,1577,1583,wikidata
bishop of worcester,Edmund Freke,Q5339480,1584,1591,wikidata
bishop of worcester,Richard Fletcher,Q3430766,1593,1595,wikidata
bishop of worcester,Thomas Bilson,Q7787637,1596,1597,wikidata
bishop of worcester,Gervase Babington,Q5553466,1597,1610,wikidata
bishop of worcester,Henry Parry,Q5726735,1610,1616,wikidata
bishop of worcester,John Thornborough,Q6260722,1617,1641,wikidata
bishop of worcester,John Prideaux,Q6253415,1641,1646,wikidata
bishop of worcester,George Morley,Q5542623,1660,1662,wikidata
bishop of worcester,John Earle,Q3181405,1662,1663,wikidata
bishop of worcester,John Gauden,Q6234976,1662,1662,wikidata
bishop of worcester,Robert Skinner,Q7349830,1663,1670,wikidata
bishop of worcester,Walter Blandford,Q7964317,1671,1675,wikidata
bishop of worcester,James Fleetwood,Q6133966,1675,1683,wikidata
bishop of worcester,William Thomas,Q8019291,1683,1689,wikidata
bishop of worcester,Edward Stillingfleet,Q4216692,1689,1699,wikidata
bishop of worcester,William Lloyd,Q8014632,1699,1717,wikidata
bishop of worcester,John Hough,Q6239968,1717,1743,wikidata
bishop of worcester,Isaac Maddox,Q6076734,1743,1759,wikidata
bishop of worcester,James Johnson,Q6136887,1759,1774,wikidata
bishop of worcester,Brownlow North,Q4976612,1774,1781,wikidata
bishop of worcester,Richard Hurd,Q7326616,1781,1808,wikidata
bishop of worcester,Folliott Cornewall,Q5464674,1808,1831,wikidata
bishop of worcester,Robert Carr,Q7342778,1831,1841,wikidata
bishop of worcester,Henry Pepys,Q5726852,1841,1860,wikidata
bishop of worcester,Henry Philpott,Q5726988,1861,1890,wikidata
bishop of worcester,John Perowne,Q6252583,1891,1901,wikidata
bishop of worcester,Charles Gore,Q366142,1902,1905,wikidata
bishop of worcester,Huyshe Yeatman-Biggs,Q5951489,1905,1918,wikidata
bishop of worcester,Ernest Pearce,Q5393671,1919,1931,wikidata
bishop of worcester,Arthur Perowne,Q4799963,1931,1941,wikidata
bishop of worcester,William Wilson Cash,Q8020452,1941,1955,wikidata
bishop of worcester,Mervyn Charles-Edwards,Q6536418,1956,1971,wikidata
bishop of worcester,Robin Woods,Q7352884,1971,1982,wikidata
bishop of worcester,Philip Goodrich,Q7183627,1982,1996,wikidata
bishop of worcester,Peter Selby,Q7176861,1997,2007,wikidata
bishop of worcester,John Inge,Q1700556,2008,2024,wikidata
countess of aylesbury,,,,,
countess of aylesford,,,,,
countess of bathurst,,,,,
countess of carlisle,,,,,
countess of essex,,,,,
countess of fitzwilliam,,,,,
countess of harington,,,,,
countess of harrington,,,,,
countess of jersey,,,,,
countess of pembroke,,,,,
countess of shelburne,,,,,
countess of spencer,,,,,
dean of derry,Godfrey Rhodes,Q108407146,,,wikidata
dean of derry,George Berkeley,Q82049,1724,1733,wikidata
dean of middleham,,,,,
dowager countess of albemarle,,,,,
dowager countess of huntingdon,,,,,
dowager countess of huntington,,,,,
dowager countess of powys,,,,,
dowager duchess of beaufort,,,,,
dowager duchess of chandos,,,,,
dowager duchess of portland,,,,,
dowager viscountess of midleton,,,,,
duchess of bedford,,,,,
duchess of bolton,,,,,
duchess of buccleugh,,,,,
duchess of devonshire,,,,,
duchess of gloucester,"Princess Alice, Duchess of Gloucester",Q246915,1935,,wikidata
duchess of gloucester,"Birgitte, Duchess of Gloucester",Q241584,1974,,wikidata
duchess of grafton,,,,,
duchess of richmond,,,,,
