entry_id,source_entry_id,person_id,normalization input,normalized_name,name_order,name_type,title_key,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,parsed_notes,listed as,book,author,edition,year
Cugoano-Thoughts-1-0001,Cugoano-Thoughts-1-0001,Cugoano-Thoughts-1-0001,Mr. Adams,Mr. Adams,first-last,personal,,Mr.,,Adams,,,,,,Mr. Adams,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0002,Cugoano-Thoughts-1-0002,Cugoano-Thoughts-1-0002,Mrs. Allen,Mrs. Allen,first-last,personal,,Mrs.,,Allen,,,,,,Mrs. Allen,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0003,Cugoano-Thoughts-1-0003,Cugoano-Thoughts-1-0003,Mr. Allam,Mr. Allam,first-last,personal,,Mr.,,Allam,,,,,,Mr. Allam,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0004,Cugoano-Thoughts-1-0004,Cugoano-Thoughts-1-0004,Mr. Allwood,Mr. Allwood,first-last,personal,,Mr.,,Allwood,,,,,,Mr. Allwood,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0005,Cugoano-Thoughts-1-0005,Cugoano-Thoughts-1-0005,Mr. Alexander,Mr. Alexander,first-last,personal,,Mr.,,Alexander,,,,,,Mr. Alexander,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0006a,Cugoano-Thoughts-1-0006,Cugoano-Thoughts-1-0006a,Right Hon. Lord Barnard,Right Hon. Lord Barnard,first-last,titled,lord barnard,Right Hon. Lord Barnard,,,,,,,,Right Hon. Lord and Lady Barnard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0006b,Cugoano-Thoughts-1-0006,Cugoano-Thoughts-1-0006b,Lady Barnard,Lady Barnard,first-last,titled,lady barnard,Lady Barnard,,,,,,,,Right Hon. Lord and Lady Barnard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0007,Cugoano-Thoughts-1-0007,Cugoano-Thoughts-1-0007,Mr. Becket,Mr. Becket,first-last,personal,,Mr.,,Becket,,,,,,Mr. Becket,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0008,Cugoano-Thoughts-1-0008,Cugoano-Thoughts-1-0008,Mr. Barrat,Mr. Barrat,first-last,personal,,Mr.,,Barrat,,,,,,Mr. Barrat,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0009,Cugoano-Thoughts-1-0009,Cugoano-Thoughts-1-0009,Mr. Baptize,Mr. Baptize,first-last,personal,,Mr.,,Baptize,,,,,,Mr. Baptize,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0010,Cugoano-Thoughts-1-0010,Cugoano-Thoughts-1-0010,Mr. Burkeny Young,Mr. Burkeny Young,first-last,personal,,Mr.,Burkeny,Young,,,,,,Mr. Burkeny Young,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0011,Cugoano-Thoughts-1-0011,Cugoano-Thoughts-1-0011,Mr. Brablytroy,Mr. Brablytroy,first-last,personal,,Mr.,,Brablytroy,,,,,,Mr. Brablytroy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0012,Cugoano-Thoughts-1-0012,Cugoano-Thoughts-1-0012,Mr. Bowie,Mr. Bowie,first-last,personal,,Mr.,,Bowie,,,,,,Mr. Bowie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0013,Cugoano-Thoughts-1-0013,Cugoano-Thoughts-1-0013,Mr. Baily,Mr. Baily,first-last,personal,,Mr.,,Baily,,,,,,Mr. Baily,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0014,Cugoano-Thoughts-1-0014,Cugoano-Thoughts-1-0014,Mr. Bovie,Mr. Bovie,first-last,personal,,Mr.,,Bovie,,,,,,Mr. Bovie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0015,Cugoano-Thoughts-1-0015,Cugoano-Thoughts-1-0015,Mr. Brown,Mr. Brown,first-last,personal,,Mr.,,Brown,,,,,,Mr. Brown,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0016,Cugoano-Thoughts-1-0016,Cugoano-Thoughts-1-0016,Mr. Brewer,Mr. Brewer,first-last,personal,,Mr.,,Brewer,,,,,,Mr. Brewer,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0017,Cugoano-Thoughts-1-0017,Cugoano-Thoughts-1-0017,Mr. Bennet,Mr. Bennet,first-last,personal,,Mr.,,Bennet,,,,,,Mr. Bennet,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0018a,Cugoano-Thoughts-1-0018,Cugoano-Thoughts-1-0018a,Mr. Bradbury,Mr. Bradbury,first-last,personal,,Mr.,,Bradbury,,,,,,Mr. and Mrs. Bradbury,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0018b,Cugoano-Thoughts-1-0018,Cugoano-Thoughts-1-0018b,Mrs. Bradbury,Mrs. Bradbury,first-last,personal,,Mrs.,,Bradbury,,,,,,Mr. and Mrs. Bradbury,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0019,Cugoano-Thoughts-1-0019,Cugoano-Thoughts-1-0019,Mr. Boston,Mr. Boston,first-last,personal,,Mr.,,Boston,,,,,,Mr. Boston,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0020,Cugoano-Thoughts-1-0020,Cugoano-Thoughts-1-0020,Mr. Browne,Mr. Brown,first-last,personal,,Mr.,,Brown,,,,,,Mr. Browne,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0021,Cugoano-Thoughts-1-0021,Cugoano-Thoughts-1-0021,Mr. Bridgewater,Mr. Bridgewater,first-last,personal,,Mr.,,Bridgewater,,,,,,Mr. Bridgewater,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0022,Cugoano-Thoughts-1-0022,Cugoano-Thoughts-1-0022,Mr. Beckford,Mr. Beckford,first-last,personal,,Mr.,,Beckford,,,,,,Mr. Beckford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0023,Cugoano-Thoughts-1-0023,Cugoano-Thoughts-1-0023,Mr. Campbell,Mr. Campbell,first-last,personal,,Mr.,,Campbell,,,,,,Mr. Campbell,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0024,Cugoano-Thoughts-1-0024,Cugoano-Thoughts-1-0024,Mr. Cosway,Mr. Cosway,first-last,personal,,Mr.,,Cosway,,,,,,Mr. Cosway,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0025,Cugoano-Thoughts-1-0025,Cugoano-Thoughts-1-0025,Mr. Cuzons,Mr. Cuzons,first-last,personal,,Mr.,,Cuzons,,,,,,Mr. Cuzons,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0026,Cugoano-Thoughts-1-0026,Cugoano-Thoughts-1-0026,Mr. Carry,Mr. Carry,first-last,personal,,Mr.,,Carry,,,,,,Mr. Carry,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0027,Cugoano-Thoughts-1-0027,Cugoano-Thoughts-1-0027,Mr. Camburn,Mr. Camburn,first-last,personal,,Mr.,,Camburn,,,,,,Mr. Camburn,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0028,Cugoano-Thoughts-1-0028,Cugoano-Thoughts-1-0028,Mr. Charpontiare,Mr. Charpontiare,first-last,personal,,Mr.,,Charpontiare,,,,,,Mr. Charpontiare,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0029,Cugoano-Thoughts-1-0029,Cugoano-Thoughts-1-0029,Mr. Crook,Mr. Crook,first-last,personal,,Mr.,,Crook,,,,,,Mr. Crook,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0030,Cugoano-Thoughts-1-0030,Cugoano-Thoughts-1-0030,Mr. Crosland,Mr. Crosland,first-last,personal,,Mr.,,Crosland,,,,,,Mr. Crosland,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0031,Cugoano-Thoughts-1-0031,Cugoano-Thoughts-1-0031,Mr. Crigg,Mr. Crigg,first-last,personal,,Mr.,,Crigg,,,,,,Mr. Crigg,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0032,Cugoano-Thoughts-1-0032,Cugoano-Thoughts-1-0032,Mr. Collings,Mr. Collings,first-last,personal,,Mr.,,Collings,,,,,,Mr. Collings,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
